case,n_sites,n_triangles_ordered,max_frobenius_error,mean_frobenius_error,max_rotation_angle_rad,mean_rotation_angle_rad,max_unitarity_error,max_det_error
pure_gauge,10,720,9.135760142166563e-16,3.6106286416358564e-16,0.0,0.0,1.8135506767551452e-15,1.2260078744742121e-15
pure_gauge_after_local_gauge_transform,10,720,1.572817891496448e-15,5.45834406901635e-16,0.0,0.0,3.0543755576661268e-15,2.1641366152345425e-15
perturbed_sparse_links,10,720,0.5455463887843814,0.10793260810528407,0.776384760949769,0.15332345460747163,1.848566990366835e-15,1.340594481812864e-15
perturbed_after_local_gauge_transform,10,720,0.5455463887843813,0.10793260810528421,0.7763847609497714,0.153323454607472,3.4478157963677153e-15,2.4513453488814287e-15
,,,,,,,,
covariance_error_pure,,,1.0350736359673857e-15,,,,,
covariance_error_perturbed,,,1.0350736359673857e-15,,,,,
literal_residual_matrix_change_perturbed,,,1.0337212848518598,,,,,
trace_invariance_error_perturbed,,,1.3386155918178405e-15,,,,,
"corruption_edge_(0, 1)",,,,,0.7203572911868645,,,
"corruption_edge_(2, 5)",,,,,0.3231434782925795,,,
"corruption_edge_(3, 7)",,,,,0.47996628868285907,,,
"corruption_edge_(6, 9)",,,,,-0.7763847609497683,,,
